size,Triton,Torch
4096.000000,12.000000,12.000000
8192.000000,24.000000,24.000000
16384.000000,48.000000,48.000000
32768.000000,76.800002,76.800002
65536.000000,127.999995,127.999995
131072.000000,219.428568,214.637557
262144.000000,279.272725,280.068380
524288.000000,384.000001,384.000001
1048576.000000,423.724127,423.724127
2097152.000000,446.836360,448.109408
4194304.000000,463.698115,472.189735
8388608.000000,472.615390,479.531698
16777216.000000,477.203890,485.451853
33554432.000000,478.947611,487.256521
67108864.000000,479.787676,488.618816
134217728.000000,480.117211,488.856110
